csv,out_dir,T,duration_sec,dt_median_sec,hip_dz_total_m,hip_z_range_m,hip_y_range_m,ankle_y_min_m,ankle_y_mean_m,double_contact_rate,no_contact_rate,contact_L_rate,contact_R_rate,support_R_rate,switch_rate_from_support,switch_count_from_support,switch_rate_from_support_switch,switch_count_from_support_switch,bone_mean_L_HIP_L_KNEE,bone_cv_L_HIP_L_KNEE,bone_mean_L_KNEE_L_ANKLE,bone_cv_L_KNEE_L_ANKLE,bone_mean_R_HIP_R_KNEE,bone_cv_R_HIP_R_KNEE,bone_mean_R_KNEE_R_ANKLE,bone_cv_R_KNEE_R_ANKLE,bone_mean_L_HIP_R_HIP,bone_cv_L_HIP_R_HIP,has_time_sec,has_contact,has_stance,has_support,has_support_switch
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_raw.csv,outputs_final\stage_check\data_riku_slow0_raw,249.0,8.267973999999999,0.03333899999999801,-0.07064518550812665,0.2338750112221385,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.40929624499975675,2.765507306574541e-10,0.38663387638487706,0.02262143632195415,0.40731593088851153,2.1730105053663835e-10,0.3930115481502905,0.01625959593070678,0.23188317882178144,0.011347750939383902,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage0.csv,outputs_final\stage_check\data_riku_slow0_stage0,249.0,8.267973999999999,0.03333899999999801,8.446909487247467e-05,0.0002897873055189293,0.0002776606706902385,-0.1492059230804443,-0.04746311986781504,,,,,,,,,,0.4053821420296778,0.034843668750275926,0.3844612255740853,0.03151345248058939,0.40266835815948965,0.02385212803402611,0.38725903061732336,0.03156531867464679,0.2318831790536125,0.011347750939464154,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage1.csv,outputs_final\stage_check\data_riku_slow0_stage1,249.0,8.267973999999999,0.03333899999999801,0.00011725350926030005,0.00034868272464809967,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.4053821416532218,0.03484366875150425,0.3844612252168372,0.0315134524746717,0.402668357786641,0.023852128033523778,0.3872590302582035,0.0315653186715912,0.23188317882178144,0.011347750939383892,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage2.csv,outputs_final\stage_check\data_riku_slow0_stage2,249.0,8.267973999999999,0.03333899999999801,0.00011725350926030005,0.00034868272464809967,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.4092962450130688,2.4544509375472775e-10,0.38425508443445683,0.0026401642334037373,0.4073159308824548,1.9385332441324689e-10,0.39276988978644667,0.0010908308922327951,0.23188317882178144,0.011347750939383892,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage3.csv,outputs_final\stage_check\data_riku_slow0_stage3,249.0,8.267973999999999,0.03333899999999801,-0.07064518550812665,0.2338750112221385,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.4075499574865759,0.04092779617781068,0.38425508443445683,0.0026401642334037373,0.4105113981198767,0.02769188589987074,0.39276988978644667,0.0010908308922327951,0.23188317882178144,0.011347750939383902,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage4.csv,outputs_final\stage_check\data_riku_slow0_stage4,249.0,8.267973999999999,0.03333899999999801,-0.07064518550812665,0.2338750112221385,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.40929624499975675,2.765507306574541e-10,0.3843761337646381,0.004456257731115003,0.40731593088851153,2.1730105053663835e-10,0.3929309745650383,0.0028023384582235578,0.23188317882178144,0.011347750939383902,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage5.csv,outputs_final\stage_check\data_riku_slow0_stage5,249.0,8.267973999999999,0.03333899999999801,-0.07064518550812665,0.2338750112221385,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.40929624499975675,2.765507306574541e-10,0.38371040724780403,0.005765367028312477,0.40731593088851153,2.1730105053663835e-10,0.3926776158927321,0.00386751382717507,0.23188317882178144,0.011347750939383902,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage6.csv,outputs_final\stage_check\data_riku_slow0_stage6,249.0,8.267973999999999,0.03333899999999801,-0.07064518550812665,0.2338750112221385,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.40929624499975675,2.765507306574541e-10,0.38663387638487706,0.02262143632195415,0.40731593088851153,2.1730105053663835e-10,0.3930115481502905,0.01625959593070678,0.23188317882178144,0.011347750939383902,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_slow0_stage7.csv,outputs_final\stage_check\data_riku_slow0_stage7,249.0,8.267973999999999,0.03333899999999801,0.6202499461464299,0.8252498499749035,0.00024435716075987823,-0.016956340244234,0.03994112338077262,,,,,,,,,,0.40929624499975675,2.76550719436505e-10,0.38663387638487706,0.02262143632195414,0.40731593088851153,2.1730104148280657e-10,0.3930115481502905,0.01625959593070678,0.23188317882178144,0.011347750939383904,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_test0_processed.csv,outputs_final\stage_check\data_riku_test0_processed,126.0,4.166667,0.03333300000000006,1.174158457810766,1.215692638674024,0.00035864292048404245,-0.0191383951707248,0.050669728479665235,0.0,0.0,0.3968253968253968,0.6031746031746031,0.5555555555555556,0.152,19.0,0.15079365079365079,19.0,0.41295104205406286,3.4297043938955767e-10,0.3891088107238673,0.022707757522507838,0.39820154906252925,2.9936869641864324e-10,0.3915062216067703,0.01743751199151345,0.2279913241156432,0.02131522988404253,True,True,True,True,True
